number,handle name,handle ID,tweet,tweet time,retweet count,likes count
88,Journal de Montréal,JdeMontreal,"Des milliers de personnes ont fait le déplacement samedi aux funérailles des sept enfants syriens, décédés en début de semaine dans l’incendie de leur maison d’Halifax, en Nouvelle-Écosse.
https://t.co/gI3fO8AIHg",Sat Feb 23 18:53:48 +0000 2019,0,0
89,Mark Hebscher,Hebsyman,".@espn just said Halifax is the eastern point of Canada. Mark Jones, a CANADIAN. I guess Newfoundland doesn’t exist? #WeTheNorth #Raptors #DeRozan #Toronto",Sat Feb 23 18:53:49 +0000 2019,0,0
90,Debbi Morello,debmorello,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:54:08 +0000 2019,0,0
91,samantha,lovealwayssam,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:54:09 +0000 2019,0,0
92,Darren Fenwick,DarrenF52613413,"Thinking of the mother who has to bury her children today, and the father who’s too badly injured to attend. May peace be upon them. #halifax #BarhoFamily https://t.co/Vx14gcu4gu",Sat Feb 23 18:54:11 +0000 2019,0,0
93,TypicallyPissed,PissedTypically,This is why the Canadian interest rate goes up. Because of deep dirty seeded corruption at the highest levels of every aspect of our life.,Sat Feb 23 18:54:11 +0000 2019,0,0
94,zac skeith,zac_ske,"Heart is in Halifax today. Tragic loss of 7 young children, who had already been through so much during the journey to NS from Syria #BarhoFamily",Sat Feb 23 18:54:26 +0000 2019,0,0
95,JML,JML_ter,"The GoFundMe campaign to help the Barho family after their fatal house fire is now the second largest in Canadian history (now nearly a half-million dollars).
1. Humboltd Broncos
2. Halifax House Fire
3. Quebec Mosque Victims https://t.co/RGkvQgz7bs",Sat Feb 23 18:54:34 +0000 2019,0,0
96,@IAmHuman,nasiraestes,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:54:38 +0000 2019,0,0
97,Natasha Pace,NatashaPace,"“Obviously it was an unbelievable incident, I just came to give my sympathies,” says Nirav Mehta, who recently immigrated to Halifax from India. #Barho",Sat Feb 23 18:54:41 +0000 2019,0,0
98,Graham Johnston,North_Nova,"A community mourns together today as the funeral for seven children who passed during a tragic fire in Spryfield .

The funeral in Halifax saw support and mourning from throughout the city as both HRFE and HRP the honour guard lead the precession to the doors of the funeral. https://t.co/NKhlCaCIPB",Sat Feb 23 18:54:49 +0000 2019,0,0
99,real tina belcher,jelanko,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:54:49 +0000 2019,0,0
100,Quiana Fulton,thequianafulton,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:54:50 +0000 2019,0,0
101,Ritesh Kotak,RiteshKotak,WATCH LIVE: Funeral service underway in Halifax to remember the seven Syrian children killed in a devastating house fire. https://t.co/I3D2kUBtPJ https://t.co/BwLk8BL6Fp,Sat Feb 23 18:54:56 +0000 2019,0,0
